ESPECIFICACIONES TÉCNICAS	Motor	2.0L TiVCT I4 GDI
ESPECIFICACIONES TÉCNICAS	Potencia (Hp/rpm)	160 @ 6500
ESPECIFICACIONES TÉCNICAS	Torque (nm/rpm)	198 @ 4450
ESPECIFICACIONES TÉCNICAS	Transmisión n Velocidades	MT5
ESPECIFICACIONES TÉCNICAS	Dirección electrónicamente asistida (EPAS)	s
ESPECIFICACIONES TÉCNICAS	Frenos	DISCO/TAMBOR
ESPECIFICACIONES TÉCNICAS	Capacidad de estanque de combustible (L)	47L
ESPECIFICACIONES TÉCNICAS	Capacidad de carga maletera (L)	374L
EXTERIOR	Focos con encendido automático	s
EXTERIOR	Neblineros	n
EXTERIOR	Neumáticos	215/55R16
EXTERIOR	Llantas de aleación	s
EXTERIOR	Parachoques color carrocería	s
EXTERIOR	Vidrios tinteados	s
EXTERIOR	Manillas exteriores de puerta	COLOR CARROCERIA
EXTERIOR	Espejos exteriores bifocales	s
EXTERIOR	Espejos exteriores color carrocería	s
EXTERIOR	Espejos exteriores con señalizador integrado	s
EXTERIOR	Espejos exteriores con regulación eléctrica	s
EXTERIOR	"Sistema de carga de combustible sin tapa ""Easy Fuel"""	s
EXTERIOR	Spoiler	n
INTERIOR	Aire acondicionado	s
INTERIOR	Volante forrado en cuero	n
INTERIOR	Volante con ajuste altura y profundidad	s
INTERIOR	Palanca de cambios y freno de mano forrados en cuero	n
INTERIOR	Terminación palanca de cambios	n
INTERIOR	Número de pasajeros	5
INTERIOR	Asiento conductor c/ajuste eléctrico	n
INTERIOR	Asiento conductor c/ajuste manual	s
INTERIOR	Tapizado de asientos	TELA
INTERIOR	Segunda corrida de asientos abatible 60/40	s
INTERIOR	Apoyabrazos central delantero con posavasos	s
INTERIOR	Apoyabrazos central trasero con posavasos	n
INTERIOR	Consola central con portaobjetos	s
INTERIOR	Consola de techo	n
INTERIOR	Portamapas en respaldo de asiento	s
INTERIOR	Espacio portaobjetos en puertas delanteras	s
INTERIOR	Guantera con luz	s
INTERIOR	Alerta sonora de luces encendidas	s
INTERIOR	Espejo de cortesía	s
INTERIOR	Luz ambiente interior con 7 colores seleccionables	n
INTERIOR	Luz en área de carga/pasajeros	s
INTERIOR	Toma corriente 12V	2
SEGURIDAD	Airbag de rodilla para conductor	s
SEGURIDAD	Airbag frontal doble con sistema clasificación copiloto	s
SEGURIDAD	Airbags de cortina	s
SEGURIDAD	Airbags laterales	s
SEGURIDAD	Alarma perimetral	n
SEGURIDAD	Alerta de uso del cinturón de seguridad	s
SEGURIDAD	Cinturones de seguridad ajustables en altura	s
SEGURIDAD	Cinturones de seguridad con Pretensores y Limitadores de Peso	s
SEGURIDAD	Control de curvas	s
SEGURIDAD	Control de Estabilidad Electrónico (ESC)	s
SEGURIDAD	Sensor de Severidad de Impacto	s
SEGURIDAD	Sistema Antibloqueo de Frenos (ABS)	s
SEGURIDAD	Sistema de anclaje para sillas de bebé	s
SEGURIDAD	Sistema de Clasificación de Pasajero Delantero	s
SEGURIDAD	Sistema inmobilizador de motor PATS/ EPATS	s
SEGURIDAD	TPMS (Monitor de presión en neumáticos)	s
TECNOLOGÍA	Acceso inteligente sin llave	n
TECNOLOGÍA	"Alzavidrios ""One Touch Down"" conductor"	s
TECNOLOGÍA	"Alzavidrios ""One Touch Up/Down"" conductor y copiloto"	n
TECNOLOGÍA	Apertura y cierre de puertas con comando a distancia	s
TECNOLOGÍA	"Asistente de estacionamiento ""Park Assist"""	n
TECNOLOGÍA	Bluetooth	s
TECNOLOGÍA	Botón de encendido motor	n
TECNOLOGÍA	Cierre automático de puertas en velocidad	s
TECNOLOGÍA	Cierre centralizado de puertas	s
TECNOLOGÍA	Compartimiento USB/RCA/SD CARD	n
TECNOLOGÍA	Computador a bordo	s
TECNOLOGÍA	Conexión auxiliar (mini plug)	s
TECNOLOGÍA	Control de audio en volante	s
TECNOLOGÍA	Control de velocidad crucero al volante	s
TECNOLOGÍA	Cámara de retroceso	n
TECNOLOGÍA	Encendido motor a distancia	n
TECNOLOGÍA	My Key ™	s
TECNOLOGÍA	"Pantalla Multifunción Color de 4,2"""	s
TECNOLOGÍA	"Pantalla Multifunción Color de 8"""	n
TECNOLOGÍA	Parlantes / Tweeters	6
TECNOLOGÍA	Radio AM/FM	s
TECNOLOGÍA	Reproductor de CD / MP3	s
TECNOLOGÍA	Sensor de estacionamiento delantero	n
TECNOLOGÍA	Sensor de retroceso	n
TECNOLOGÍA	Sistema de audio Premium Sony	n
TECNOLOGÍA	Sistema de conectividad MyFord Touch con pantalla panel central	n
TECNOLOGÍA	Sistema de conectividad SYNC	s
TECNOLOGÍA	Sistema de navegación por GPS	n
TECNOLOGÍA	Subwoofer	n
